Student_ID,Gender,Department,Average_Attendance_On_Class,Are_You_Engaged_With_Any_Co-Curriculum_Activities?,What_Is_Your_Current_CGPA?,Feedback_Rating,Teacher_Feedback,password,Name
S331,Female,IT,28.52,No,2.85,3,Poor,8c1kvwK@4,Diya
S332,Female,CSE,88.86,No,5.06,6,Average,sP73yo@6S,Keerthi
S333,Male,CIVIL,61.9,Yes,9.89,8,Good,V4h1vnV&1,Varun
S334,Male,CIVIL,66.34,Yes,5.97,5.5,Average,@wr7P30da,Rakesh
S335,Female,CIVIL,31.98,No,2.1,2,Poor,0X0#Byo6c,Bhavya
S336,Female,CIVIL,69.33,Yes,8.46,7,Good,6FX0D5@jN,Meera
S337,Male,ECE,94.57,Yes,5.82,6,Average,V40&FeUZ9,Karan
S338,Male,CSE,25.86,No,1.25,1.5,Poor,72y&h5rsl,Vivek
S339,Female,AI-DS,75.79,No,6.35,6,Average,aM1t&k63W,Priya
S340,Female,AI-DS,78.84,Yes,6.15,6.5,Average,6O6CA%xk6,Sneha
S341,Male,CIVIL,76.73,No,6.98,6,Average,d0%f3zAD5,Nikhil
S342,Female,IT,30.28,No,2.35,2.5,Poor,&lzq055vd,Diya
S343,Female,CIVIL,40.8,No,2.29,2,Poor,C6w@KSx55,Lavanya
S344,Female,IT,69.15,No,9.37,8,Good,V$B8D07kf,Nisha
S345,Female,IT,73.97,No,7.25,7.5,Good,aDFx2%W12,Aaradhya
S346,Male,CIVIL,96.11,No,6.47,7,Good,HG7X#TT22,Sai
S347,Female,CIVIL,20.88,Yes,3.74,2,Poor,5K%Rb43WA,Pooja
S348,Male,IT,57.19,Yes,9.29,7,Good,06Ex4R@LP,Siddharth
S349,Female,AI-DS,91.88,Yes,9.34,10,Excellent,pF5Em9l@6,Saanvi
S350,Male,CSE,10.01,Yes,3.45,1,Poor,ow*9Yt40e,Aditya
